Company,Title,Location,Salary
Salesforce,Applied Scientist,"Chicago, IL 60654 (River North area)",82400
InspiHER Tech,DATA SCIENTIST,"Chicago, IL",87500
Lightyear Health,Data Scientist,New York State•Remote,100000
CKM Analytix,Senior Data Scientist,"New York, NY 10018 (Garment District area)•Temporarily Remote",140000
NYC Careers,ASSOCIATE DATA SCIENTIST,"Manhattan, NY",77085
Dataworks,Senior Data Scientist,"New York, NY•Temporarily Remote",147500
NYC Careers,Data Scientist - Policy Analytics,"Manhattan, NY",85132
NYC Careers,"newCity Research Scientist II / Data Analyst, Bureau of HIV","Queens, NY 11101",85132
Fund For Public Health In New York Inc,Data Scientist,"Long Island City, NY 11101",90000
Purpose,"newData Analytics / Data Science Lead, Impact Measurement & Lea...","New York, NY•Remote",100000
NYC Careers,Geospatial Data Scientist,"New York, NY 10013 (Lower East Side area)",97735
NYC Health + Hospitals,Data Scientist,"New York, NY 10004 (Financial District area)",89754
Orsus Research,Quantitative Researcher,"New York, NY 10022 (Midtown area)•Temporarily Remote",152334
S&P Global,Sr. Data Scientist,"New York, NY 10041 (Financial District area)",105900
Starry,Senior Data Analyst,New York State•Remote,100000
Fund For Public Health In New York Inc,Senior Data Analyst - Visualization and Reporting,"Long Island City, NY 11101•Remote",90803
"Amazon Web Services, Inc.",Data Scientist - ProServe,"New York, NY+1 location",114700
S&P Global,Lead Data Scientist,"New York, NY 10041 (Financial District area)+2 locations•Remote",128850
Allstate,Arity- Data Scientist- Full Time,"Northbrook, IL•Remote",89000
Cohesion IB,Data Scientist,"Chicago, IL•Temporarily Remote",108706
Inspihertech,DATA SCIENTIST,"Chicago, IL•Remote",165000
RiverTowns Group,Data Scientist,"Chicago, IL 60661 (West Loop Gate area)",96000
Modern Agile Technologies,Sr. Data Scientist,"Chicago, IL•Temporarily Remote",123000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Chicago, IL",155700
Glassdoor,Machine Learning Scientist,"Chicago, IL",123650
IMC Financial Markets,newQuantitative Researcher,"Chicago, IL",150000
Blue Cross Blue Shield Association,Senior Data Analyst (Healthcare),"Chicago, IL 60601 (The Loop area)",92500
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Chicago, IL+1 location•Remote",155700
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Chicago, IL",114700
One Hope United,CQRI Senior Data Analyst,"Chicago, IL 60604 (The Loop area)",60000
Digital Resource Group LLC,Data Science Manager,"Chicago, IL",140000
SonderMind (all cities),"Software Engineer, Data Science","Chicago, IL",110000
S&P Global,Lead Data Scientist,"Chicago, IL 60601 (Loop area)•Remote",128850
Alight,Conversational AI Analyst,"Chicago, IL 60601 (Loop area)",75000
Barrow Wise Consulting,Master Data Manager,"Chicago, IL 60661 (Near West Side area)•Temporarily Remote",117500
Myticas Consulting ULC,Data Scientist,"Chicago, IL",135000
Harnham,Director of Machine Learning and Artificial Intelligence,"Chicago, IL",225000
Allstate,Data Science Senior Manager (Remote - Home Based Worker),"Northbrook, IL•Remote",148300
Glassdoor,Machine Learning Scientist,"San Francisco, CA+1 location",145450
Slack,"Staff Data Scientist, Virtual HQ","San Francisco, CA+1 location",142400
Chime,"Senior Data Scientist, Product","San Francisco, CA 94108 (Chinatown area)+1 location",183500
Salesforce,"Staff Data Scientist, Virtual HQ - Slack","San Francisco, CA 94105 (South Beach area)+3 locations",142400
Warman O'Brien,Data Scientist,"San Francisco, CA•Temporarily Remote",130000
Slack,"Staff Data Scientist, Expansion","San Francisco, CA",142400
Salesforce,"Staff Data Scientist, Virtual HQ - Slack","San Francisco, CA 94105 (South Beach area)",142400
Chime,"Senior Data Scientist, Fraud/Risk","San Francisco, CA 94108 (Chinatown area)",183499
"Grammarly, Inc.","Product Manager, Machine Learning","San Francisco, CA 94104 (Financial District area)+2 locations•Remote",200000
"Grammarly, Inc.","Product Manager, Machine Learning","San Francisco, CA 94104 (Financial District area)•Remote",200000
Valkyrie,Senior Data Scientist,"Austin, TX 78701 (Downtown area)",112500
Teacher Retirement System of Texas,Health Data Analyst or Senior Analyst,"Austin, TX",65500
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Austin, TX",116200
Liaison AI,Machine Learning Engineer,"Austin, TX 78704 (South Lamar-South Congress area)+1 location",47500
S&P Global,Lead Data Scientist,"Austin, TX 73301 (St Edwards area)•Remote",128850
SonderMind (all cities),"Software Engineer, Data Science","Austin, TX",110000
"Amazon Web Services, Inc.","Principal, Data Scientist ProServe","Austin, TX",122300
Mandiant,Staff Data Scientist - REMOTE USA,"Austin, TX•Remote",140000
Applied Research Laboratories,Signal Processing and Data Analysis Software Engineering Sci...,"Austin, TX 78758 (North Burnett area)",109000
Travis County,Planner (Juvenile Justice Statistician),"Austin, TX 78701 (Downtown area)",56605
spar information systems,"Data Science, ML Engineer/Lead","Austin, TX•Temporarily Remote",101052
Glassdoor,Machine Learning Scientist,"Austin, TX+1 location",123650
Glassdoor,Machine Learning Scientist,"Austin, TX",123650
Valkyrie Intelligence,Senior Data Science Engineer,"Austin, TX 78701 (Downtown area)•Temporarily Remote",112500
spar information systems,Data Scientist ML researcher,"Philadelphia, PA•Temporarily Remote",106354
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Philadelphia, PA",114700
Glassdoor,Machine Learning Scientist,"Chicago, IL+1 location",123650
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"San Diego, CA",114700
San Diego Gas & Electric,Senior Data Scientist - Risk - 21-61363,"San Diego, CA 92123 (Kearny Mesa area)",140900
Compass Life Sciences,Director of Statistics US - Global Pharma,United States•Remote,230000
CyberCoders,newSenior Machine Learning Engineer - AI / Deep Learning,"San Diego, CA 92121",170000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Los Angeles, CA",155700
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Los Angeles, CA•Remote",112700
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Los Angeles, CA+1 location•Remote",155700
DIRECTV,Senior Data Analyst,"Los Angeles, CA",127350
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)",114700
Outdefine,newMachine Learning Engineer,"El Segundo, CA 90245•Remote",159755
Los Angeles Homeless Services Authority,Sr. Data Analyst,"Los Angeles, CA 90017 (Downtown area)",73409
spar information systems,newSr. Data Analyst,"Los Angeles, CA•Temporarily Remote",78613
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Santa Monica, CA 90404 (Mid-City area)",116200
Southern California Association of Governments,Assistant Regional Planner - Data Science,"Los Angeles, CA 90017 (Downtown area)•Temporarily Remote",81900
"Amazon Web Services, Inc.",Associate Data & Machine Learning Engineer,"Los Angeles, CA",82600
CyberCoders,new100% REMOTE Sr. Data Scientist,"Los Angeles, CA 90015•Remote",150000
Glassdoor,"Senior Product Manager, Machine Learning","Los Angeles, CA",148500
spar information systems,AI/ML Engineer (MAF Framework),"Philadelphia, PA•Temporarily Remote",75053
PSCI,Senior Business Data Analyst,"Wilmington, DE 19801 (Trinity Vicinity area)",105000
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Atlanta, GA",155700
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Atlanta, GA•Remote",112700
Globalpointinc.com,newLead Data Scientist,"Alpharetta, GA•Remote",137825
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Atlanta, GA+1 location•Remote",155700
Salesforce,Applied Scientist,"Atlanta, GA 30326 (Lenox area)",82400
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Atlanta, GA",114700
CEDENT,Sr Data Scientist,"Atlanta, GA",117500
"Centers for Disease Control & Prevention, National...",Service Fellow / Statistician,"Chamblee, GA 30341•Temporarily Remote",89000
Harnham,Lead Data Scientist,"Atlanta, GA",170000
S&P Global,Lead Data Scientist,"Atlanta, GA 30301 (Buckhead area)•Remote",128850
Atlanta Regional Commission,"Data Analyst, Senior","Atlanta, GA 30303 (Downtown area)",63248
Symphony RetailAI,Data Architect,"Atlanta, GA 30338•Remote",130735
Western Union,"Leader, Data and Pricing Science","Alpharetta, GA",130774
Interos,"newSenior Software Engineer, Data","Atlanta, GA 30349",102733
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Atlanta, GA 30326 (Lenox area)",121800
"City of Dallas, TX",newDBI-Data Science Analyst I (Non-Civil Service),"Dallas, TX 75201 (Government District area)",64863
Valkyrie Intelligence,Senior Data Scientist,"Dallas-Fort Worth, TX•Temporarily Remote",112500
OnPoint,Senior Data Scientist,"Dallas, TX 75201",130000
Edgetensor Technologies,newComputer Vision/Machine Learning Engineer (FT),"Dallas, TX",115000
Keasis Inc.,Machine Learning Engineer (Full time/ No third party consult...,"Irving, TX•Temporarily Remote",92391
Keasis Inc.,Machine Learning Engineer (No third party consultants),"Irving, TX•Temporarily Remote",97391
AT&T,Senior Data Analyst,"Dallas, TX",127350
Cottonwood Financial,Data Scientist - Marketing Analytics,"Irving, TX 75038 (Cottonwood area)+1 location",75850
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Dallas, TX",116200
Cottonwood Financial,Data Scientist - Marketing Analytics,"Irving, TX 75038 (Cottonwood area)",75850
Builders FirstSource,Senior Sales Data Analyst,"Dallas, TX 75201 (City Center District area)",89675
"City of Dallas, TX",Data Science Analyst II (Dallas Police),"Dallas, TX 75201 (Government District area)+1 location",71511
Raag Solutions,AI/ML Professional,"Irving, TX•Temporarily Remote",95000
OnPoint,Senior Data Engineer,"Dallas, TX 75201",125000
HCL America Inc,Artificial Intelligence/ML Developer/Architect,"Plano, TX",108702
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Houston, TX",114700
Houston Food Bank,Senior Data Analyst I,"Houston, TX 77026 (Eastex - Jensen Area area)",100000
Computer Staff,"Data Engineer, Python","Houston, TX",115000
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Miami, FL",122300
University of Miami Miller School of Medicine,Postdoctoral Research Associate in Artificial Intelligence-D...,"Miami, FL 33136 (Allapattah area)",52500
Kelly,Sr. Data Analyst - Direct Hire,"Miami, FL 33135 (West Flagler area)",125000
S&P Global,Lead Data Scientist,"Portland, OR 97201 (Homestead area)•Remote",128850
Upgrade,Data Scientist/ Sr. Data Scientist,"Phoenix, AZ 85004 (Central City area)",130000
Childhelp,"Sr. HR Data Analyst, Human Resources","Chandler, AZ+5 locations",90000
Arizona State University,newResearch Data Scientist,"Scottsdale, AZ 85257 (South Scottsdale area)",70000
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Phoenix, AZ",114700
Health Choice Arizona,Senior Data Analyst,"Phoenix, AZ 85008 (Camelback East area)",65000
"AskReply, Inc.",Senior Data Analyst,"Phoenix, AZ 85012 (Alhambra area)",60000
Harnham,Senior Machine Learning Engineer,"Phoenix, AZ",160000
Harnham,Senior Data Scientist,"Phoenix, AZ",150000
Tri-Search,newJava Developers (Machine Learning Team),"Phoenix, AZ",145000
"City of Dallas, TX",newDBI-Data Science Analyst I (Non-Civil Service),"Dallas, TX 75201 (Government District area)+1 location",64863
Dallas Independent School District,"Analyst I, Statistical (226 Days) REVISED","Dallas, TX",76031
Trust Technologies LLC,AI Machine Learning Engineer,"Irving, TX•Temporarily Remote",105000
Insight Global,Machine Learning Engineer/MLops,"Houston, TX",150000
WALTLabs.io,newData Scientist,"Spring, TX",81000
Xecta,Senior Data Engineer,"Houston, TX",125000
Statistical Vision,Natural Language Programming Specialist,"Houston, TX 77043 (Spring Branch West area)•Temporarily Remote",80000
Warman O'Brien,Senior Statistician - Innovative Biopharma - USA,United States•Temporarily Remote,112746
Interos,"newSenior Software Engineer, Data","Houston, TX",102733
Warman O'Brien,Principal Statistician - Global CRO - Homebased anywhere in...,Texas•Remote,135000
SOFTEK,Data Scientist,"Woodlawn, MD 21207",125000
EvalCommunity,Data Scientist,"Baltimore, MD",51000
"Prodigy One, LLC",Data Scientist III,"Annapolis Junction, MD",185500
Johns Hopkins University,newSr. Research Data Analyst,"Baltimore, MD 21224 (Bayview area)+1 location",62353
Stratum Networks,Data Scientist - Junior/Mid-Level,"Fort Meade, MD+1 location",162000
Stratum Networks,Data Scientiest - Junior/Mid-Level,"Fort Meade, MD",162000
S&P Global,Lead Data Scientist,"Annapolis, MD 21401•Remote",128850
"GVT, LLC",Support Scientist for GPSRO Data Assimilation,"Greenbelt, MD 20771",72500
Stratum Networks,Data Scientist - Level 3,"Fort Meade, MD",150000
"Baltimore County, MD",BCSTAT Senior Data Analyst - Non-Merit,"Towson, MD 21204",100000
"Baltimore County, MD",Statistical Analyst,"Towson, MD 21204",58833
State of Maryland,RESEARCH STATISTICIAN IV (Education Research & Evaluation Sp...,"Baltimore, MD 21201 (Downtown area)",66283
Thomas Solutions Incorporated,Incentives and Proficiency Data Analyst - Senior LREC,United States,67500
JM Talent Inc.,Sr. Data Science Developer / Analyst,Maryland•Remote,100000
Well Data Labs,Data Scientist,"Denver, CO",115000
ARGUS International Inc.,newSENIOR DATA SCIENTIST,"Denver, CO•Remote",100000
Ibotta,"Associate Decision Scientist, Data & Media","Denver, CO 80202 (Central Business District area)•Remote",65000
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Denver, CO•Remote",112700
Uplight,Data Scientist,"Denver, CO 80203 (Capitol Hill area)",101000
"Salient CRGT, Inc",Data Scientist 4,"Aurora, CO 80011 (Norfolk Glen area)",157500
Amazon.com Services LLC,Applied Scientist II,"Denver, CO",141100
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Denver, CO+2 locations",139650
The Trade Desk,Senior Data Scientist,"Boulder, CO",146067
Honey,"Data Scientist, Product Catalog Data","Denver, CO 80202 (Lodo area)",121000
Nordstrom Inc,Senior Data Analyst - Digital Customer Experience - Discover...,"Denver, CO•Remote",155700
Charles Schwab,"Sr. Manager, Data Scientist","Lone Tree, CO 80124",161500
CommonSpirit Health,Data Scientist II,"Englewood, CO 80112",109397
Denver Public Schools,"Senior Analyst, Operations Research and Data Science","Denver, CO 80203 (Capitol Hill area)",71996
Hunger Free Colorado,Senior Data Analyst and Evaluation Specialist,"Denver, CO 80222 (Cory - Merrill area)",75000
State of Colorado Job Opportunities,newStatistical Analyst I - 0849,"Denver, CO 80203 (North Capitol Hill area)",66528
Hotel Engine,newSenior Data Analyst,"Denver, CO",85000
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Denver, CO+1 location",116200
OnPoint,Senior Data Scientist,"Louisville, CO 80027",130000
Hotel Engine,Lead Data Scientist,"Denver, CO•Remote",150000
"Boulder County, CO",Senior Data Analyst,"Boulder, CO 80302 (Whittier area)•Temporarily Remote",73200
KBR,Data Scientist (SAS Programming) - Team Lead (SME 5),"Aurora, CO",133550
"Amazon Web Services, Inc.","Principal, Data Scientist ProServe","Denver, CO",122300
BombBomb,Senior Product Data Analyst,"Denver, CO",97500
Specialized Bicycle Components,"Senior Data Analyst (Remote, USA)","Boulder, CO•Remote",91500
Workday,"Manager, Machine Learning Engineering","Boulder, CO 80301+3 locations",141200
DISH,Data Scientist,"Englewood, CO 80112+5 locations",103850
Ibotta,Senior Decision Scientist,"Denver, CO 80202 (Central Business District area)•Remote",105000
U.S. Bank,"Senior Data Analyst - Denver, CO","Denver, CO",114700
SoundHound Inc.,"Machine Learning Scientist, Natural Language Processing","Boulder, CO",119000
Emerson,newSenior Data Science Engineer,"Boulder, CO (Table Mesa South area)",129100
Simio Cloud,newSenior Cloud Data Engineer (Open to Remote) - SimioCloud,"Westminster, CO 80021•Remote",140000
SonderMind,"Software Engineer, Data Science","Denver, CO",110000
Colorado Access,Senior Data Scientist (Biostatistician),"Aurora, CO 80014",83625
Citrine Informatics,Product Manager - Data & Visualization,"Denver, CO•Remote",145000
State of Colorado Job Opportunities,Violence and Injury Epidemiology Supervisor (#1619),"Denver, CO 80203 (North Capitol Hill area)",89712
InnovAge,Senior Clinical Data Analyst,"Denver, CO 80230 (Lowry Field area)",64500
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Denver, CO+1 location",141150
Western Union,"Leader, Data and Pricing Science","Denver, CO",130774
E Source,newMachine Learning Engineer,"Denver, CO",107500
Builders FirstSource,Senior Sales Data Analyst,"Denver, CO 80237 (Hampden South area)",89675
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Denver, CO",141150
Teladoc Health,Machine Learning Engineer,"Denver, CO",142500
DISH,Data Scientist - Data Exploitation,"Littleton, CO 80120",99360
Ball Aerospace,Engineer Senior - Machine Learning/ Deep Learning Optical,"Westminster, CO 80021",146500
OnPoint,Senior Data Engineer,"Louisville, CO 80027",125000
AMP Robotics,Lead Machine Learning Engineer,"Louisville, CO",164000
SoundHound Inc.,"Senior Software Engineer, Applied Machine Learning","Boulder, CO",137000
Clinica Family Health,Clinical Quality Manager,"Lafayette, CO 80026",72500
"The Stratagem Group, Inc",Senior AI/ML Engineer,"Aurora, CO 80011 (Norfolk Glen area)",142500
Ball Aerospace,Machine Learning / Deep Learning Signal Analyst Engineer,"Westminster, CO 80021",116750
Amazon.com Services LLC,Machine Learning Engineer II,"Boulder, CO+1 location",120700
"The Stratagem Group, Inc",AI/ML Engineer,"Aurora, CO 80011 (Norfolk Glen area)",97500
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Denver, CO",121800
ColdQuanta,Machine Learning Software Engineer,"Boulder, CO 80301",132799
DISH,Staff AI/ML Engineer,"Littleton, CO 80120",120000
Kairos Technologies,Sr. Data Analyst( 100% Remote ),"Boston, MA•Temporarily Remote",93552
MassHousing,Senior Business & Data Analyst,"Boston, MA 02108 (Downtown area)",116480
Glassdoor,Machine Learning Engineer,"Boston, MA",145450
SonderMind (all cities),"Software Engineer, Data Science","Boston, MA",110000
Mandiant,Staff Data Scientist - REMOTE USA,"Boston, MA•Remote",140000
Gradient AI,Senior Data Engineer,"Boston, MA 02210 (South Boston area)•Temporarily Remote",135000
IBM,newSR. Cloud Data Architect - COMMUNICATIONS,"Charlotte, NC 28201 (Myers Park area)",171800
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Indianapolis, IN 46204 (Downtown area)",121800
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Nashville, TN",114700
CEDENT,Principal Data Scientist,"Nashville, TN",165000
SonderMind (all cities),"Software Engineer, Data Science","Nashville, TN",110000
CruiTek,Business Intelligence Data Scientist,"Nashville, TN+1 location",118500
Harnham,Senior Data Scientist,"Nashville, TN",140000
Zillow,"Senior Data Scientist, Rich Media Experiences",Washington State+1 location•Remote,165050
Nordstrom Inc,"Senior Data Scientist - NLP, Computer Vision, Deep Learning","Seattle, WA+1 location",155700
NCI Information Systems Inc.,Senior Data Scientist,"Fort Lewis, WA+1 location",150000
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Seattle, WA•Remote",112700
Zillow,Senior Applied Scientist,Washington State+2 locations•Remote,195050
iconvergence,Data Science Analyst,"Redmond, WA•Temporarily Remote",98440
Salesforce,Applied Scientist,"Bellevue, WA 98004 (Downtown area)+1 location",82400
University of Utah,newPS Business Data Analyst Sr,"Salt Lake City, UT 84112 (East Bench area)",81174
Harnham,Senior Data Scientist,"Salt Lake City, UT•Remote",160000
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Salt Lake City, UT",114700
US Office of Federal Contract Compliance Programs,newStatistician,"Salt Lake City, UT•Remote",119131
Sorenson Impact Center,Director of Data Science,"Salt Lake City, UT•Temporarily Remote",105000
US Department of Transportation - Agency Wide,Statistician - Direct Hire,"Salt Lake City, UT+1 location",123976
University of Utah,Data Science Post Doctoral Fellow (E),"Salt Lake City, UT 84112 (East Bench area)",48500
US Health Resources and Services Administration,Statistician PD 20R100 - HIV/AIDS Bureau,"Salt Lake City, UT•Temporarily Remote",91388
Harnham,Senior Data Scientist,"Salt Lake City, UT+1 location•Remote",160000
Northrop Grumman,Data Scientist,"Oklahoma City, OK 73135•Remote",91900
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Oklahoma City, OK",114700
University of Oklahoma,Head of Web Services and Artificial Intelligence,"Norman, OK 73019+1 location",80000
University of Oklahoma,Head of Web Services and Artificial Intelligence,"Norman, OK 73019",80000
University of Oklahoma,Head of Web Services and Artificial Intelligence/University...,"Norman, OK 73019",75000
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Portland, OR",114700
Salesforce,"Senior Manager, Machine Learning & AI - Mulesoft, a Salesfor...","Hillsboro, OR 97124",121800
SAIC,newData Analyst,"Arnold, MO 63010•Remote",137500
Washington University in St. Louis,Statistical Data Analyst - Psychiatry,"St. Louis, MO+4 locations",60850
Research and Development Service -- VA Saint Louis...,Data Scientist — Biostatistician — Big Data Engineer,"St. Louis, MO 63103",70000
Washington University in St. Louis,Statistical Data Analyst - Biostatistics,"St. Louis, MO+1 location",60850
Washington University in St. Louis,Research Statistician II - Neurology,"St. Louis, MO",92400
Washington University in St. Louis,Statistical Data Analyst II - Brown School - Health Communic...,"St. Louis, MO+3 locations",60850
National Older Worker Career Center,Programmer/Survey Statistician,"Olivette, MO",72800
Washington University in St. Louis,Statistical Data Analyst III - Brown School,"St. Louis, MO",73050
Washington University in St. Louis,Statistical Data Analyst - Neurology,"St. Louis, MO",60850
247 Global Recruit,"Sr Data Analyst (Data domain, SQL queries)","Columbus, OH",93176
Falcon School District 49,Senior Systems & Data Analyst (Business & Operations),"Falcon, CO",74532
JM Talent Inc.,Sr. Data Science Developer / Analyst,Colorado•Remote,100000
Teladoc Health,"Data Scientist, Client Analytics","Denver, CO+3 locations",110000
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Denver, CO+7 locations",139650
OnPoint,Senior Data Scientist,"Louisville, CO 80027+1 location",130000
Battelle,Microbial Bioinformatician,"Boulder, CO 80301",120750
Workday,"Manager, Machine Learning Engineering","Boulder, CO 80301",141200
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,"Boulder, CO+1 location",116200
Workday,Machine Learning Engineer - ML Ops,"Boulder, CO 80301",128200
IBM,Analytic Data Scientist (TS/SCI + CI Poly),"Denver, CO+1 location",150500
S&P Global,Lead Data Scientist,"Denver, CO 80201•Remote",128850
Xcel Energy,newSenior Data Analyst,"Denver, CO 80202 (Union Station area)•Temporarily Remote",93333
Wiland,Client Solutions Statistician,"Niwot, CO 80503",75500
Workday,"newSr. Associate Product Manager, Machine Learning for Financia...","Boulder, CO 80301",76000
Amazon.com Services LLC,SDE- Measurement & Data Science- 2021,"Boulder, CO",141100
Workday,newSenior Software Engineer - Machine Learning,"Boulder, CO 80301",134100
Oracle,Director of Data Science,"Broomfield, CO 80021 (Interlocken area)",206000
BI Incorporated (A GEO Company),"FINANCIAL DATA ANALYST, SR","Longmont, CO+1 location",75000
Teladoc Health,Machine Learning Engineer,"Denver, CO+1 location",142500
Amazon.com Services LLC,Machine Learning Engineer II,"Louisville, CO+1 location",120700
Amazon.com Services LLC,Machine Learning Engineer II,"Louisville, CO",120700
"Stefanini, Inc",newMachine Learning (ML),"Dearborn, MI",140000
aThingz Inc.,Senior Data Scientist,"Southfield, MI 48075",90000
Boys & Girls Clubs of Southeastern Michigan,Fall 2021 Data Science Industry Club Fellowship,"Detroit, MI 48228",116100
PepsiCo,Statistical Programmer (SAS),"Canton, MI",95400
